Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Timestamp (s),steering (°),TI core temp (C)
99,9,19,c1,0,f0,1d,46,23.646921,174.9170586976744,17.6367104
99,9,19,c1,0,f0,1d,46,23.696925,174.9170586976744,17.6367104
36,d4,21,c1,0,f0,1d,46,23.746929,175.01353149767442,17.6367104
dc,8d,1c,c1,0,f0,1d,46,23.79693,174.95564852093014,17.6367104
dc,8d,1c,c1,0,f0,1d,46,23.846934,174.95564852093014,17.6367104
f3,4f,1e,c1,0,f0,1d,46,23.896937,174.97494167441857,17.6367104
f3,4f,1e,c1,0,f0,1d,46,23.946941,174.97494167441857,17.6367104
f3,4f,1e,c1,0,f0,1d,46,23.996944,174.97494167441857,17.6367104
99,9,19,c1,0,f0,1d,46,24.046949,174.9170586976744,17.6367104
a,12,20,c1,0,f0,1d,46,24.096954,174.994234827907,17.6367104
a,12,20,c1,0,f0,1d,46,24.146957,174.994234827907,17.6367104
7a,1a,27,c1,0,f0,1d,46,24.196961,175.07141079069766,17.6367104
dc,8d,1c,c1,0,f0,1d,46,24.246962,174.95564852093014,17.6367104
dc,8d,1c,c1,0,f0,1d,46,24.296966,174.95564852093014,17.6367104
c6,cb,1a,c1,0,f0,1d,46,24.34697,174.93635553488366,17.6367104
f3,4f,1e,c1,0,f0,1d,46,24.396973,174.97494167441857,17.6367104
f3,4f,1e,c1,0,f0,1d,46,24.446976,174.97494167441857,17.6367104
dc,8d,1c,c1,0,f0,1d,46,24.49698,174.95564852093014,17.6367104
c6,cb,1a,c1,0,f0,1d,46,24.546985,174.93635553488366,17.6367104
dc,8d,1c,c1,0,f0,1d,46,24.596987,174.95564852093014,17.6367104
12,3f,10,c1,0,f0,1d,46,24.646993,174.82058958139532,17.6367104
dc,8d,1c,c1,0,f0,1d,46,24.696994,174.95564852093014,17.6367104
c6,cb,1a,c1,0,f0,1d,46,24.746998,174.93635553488366,17.6367104
dc,8d,1c,c1,0,f0,1d,46,24.797002,174.95564852093014,17.6367104
99,9,19,c1,0,f0,1d,46,25.247036,174.9170586976744,17.6367104
f3,4f,1e,c1,0,f0,1d,46,25.297037,174.97494167441857,17.6367104
12,3f,10,c1,0,f0,1d,46,25.347042,174.82058958139532,17.6367104
dc,8d,1c,c1,0,f0,1d,46,25.397044,174.95564852093014,17.6367104
dc,8d,1c,c1,0,f0,1d,46,25.447048,174.95564852093014,17.6367104
dc,8d,1c,c1,0,f0,1d,46,25.497051,174.95564852093014,17.6367104
dc,8d,1c,c1,0,f0,1d,46,25.547054,174.95564852093014,17.6367104
a,12,20,c1,0,f0,1d,46,25.59706,174.994234827907,17.6367104
f3,4f,1e,c1,0,f0,1d,46,25.647061,174.97494167441857,17.6367104
f3,4f,1e,c1,0,f0,1d,46,25.697066,174.97494167441857,17.6367104
f3,4f,1e,c1,0,f0,1d,46,25.747069,174.97494167441857,17.6367104
dc,8d,1c,c1,0,f0,1d,46,25.797073,174.95564852093014,17.6367104
99,9,19,c1,0,f0,1d,46,25.847079,174.9170586976744,17.6367104
f3,4f,1e,c1,0,f0,1d,46,25.897079,174.97494167441857,17.6367104
c6,cb,1a,c1,0,f0,1d,46,25.947084,174.93635553488366,17.6367104
dc,8d,1c,c1,0,f0,1d,46,25.997087,174.95564852093014,17.6367104
99,9,19,c1,0,f0,1d,46,26.047092,174.9170586976744,17.6367104
99,9,19,c1,0,f0,1d,46,28.947299,174.9170586976744,17.6367104
a7,dc,28,c1,0,f0,1d,46,28.997302,175.09070762790702,17.6367104
f3,4f,1e,c1,0,f0,1d,46,29.047304,174.97494167441857,17.6367104
dc,8d,1c,c1,0,f0,1d,46,29.097308,174.95564852093014,17.6367104
a,12,20,c1,0,f0,1d,46,29.147313,174.994234827907,17.6367104
f3,4f,1e,c1,0,f0,1d,46,29.197315,174.97494167441857,17.6367104
99,9,19,c1,0,f0,1d,46,29.247319,174.9170586976744,17.6367104
f3,4f,1e,c1,0,f0,1d,46,29.297322,174.97494167441857,17.6367104
a,12,20,c1,0,f0,1d,46,29.347327,174.994234827907,17.6367104
f3,4f,1e,c1,0,f0,1d,46,29.39733,174.97494167441857,17.6367104
dc,8d,1c,c1,0,f0,1d,46,29.447332,174.95564852093014,17.6367104
6c,85,15,c1,0,f0,1d,46,29.497336,174.8784725581396,17.6367104
c6,cb,1a,c1,0,f0,1d,46,29.54734,174.93635553488366,17.6367104
f3,4f,1e,c1,0,f0,1d,46,29.597343,174.97494167441857,17.6367104
64,58,25,c1,0,f0,1d,46,29.647348,175.05211780465117,17.6367104
a,12,20,c1,0,f0,1d,46,29.697352,174.994234827907,17.6367104
d,63,80,c1,0,f0,1d,46,29.747358,176.05116050232562,17.6367104
80,c0,46,c1,0,f0,1d,46,29.797359,175.41870496744184,17.6367104
a7,dc,28,c1,0,f0,1d,46,29.847362,175.09070762790702,17.6367104
99,9,19,c1,0,f0,1d,46,29.897366,174.9170586976744,17.6367104
dc,8d,1c,c1,0,f0,1d,46,29.947367,174.95564852093014,17.6367104
88,ed,36,c1,0,f0,1d,46,29.997372,175.24505972093027,17.6367104
99,9,19,c1,0,f0,1d,46,30.047377,174.9170586976744,17.6367104
82,47,17,c1,0,f0,1d,46,30.097381,174.8977655441861,17.6367104
c6,cb,1a,c1,0,f0,1d,46,30.147383,174.93635553488366,17.6367104
dc,8d,1c,c1,0,f0,1d,46,30.197385,174.95564852093014,17.6367104
f3,4f,1e,c1,0,f0,1d,46,30.247389,174.97494167441857,17.6367104
dc,8d,1c,c1,0,f0,1d,46,30.297393,174.95564852093014,17.6367104
a,12,20,c1,0,f0,1d,46,30.347398,174.994234827907,17.6367104
dc,8d,1c,c1,0,f0,1d,46,30.3974,174.95564852093014,17.6367104
c6,cb,1a,c1,0,f0,1d,46,30.447404,174.93635553488366,17.6367104
99,9,19,c1,0,f0,1d,46,30.497409,174.9170586976744,17.6367104
dc,8d,1c,c1,0,f0,1d,46,30.54741,174.95564852093014,17.6367104
dc,8d,1c,c1,0,f0,1d,46,30.597414,174.95564852093014,17.6367104
4d,96,23,c1,0,f0,1d,46,30.647418,175.03282465116274,17.6367104
80,c0,46,c1,0,f0,1d,46,30.697423,175.41870496744184,17.6367104
7a,1a,27,c1,0,f0,1d,46,30.747428,175.07141079069766,17.6367104
7a,1a,27,c1,0,f0,1d,46,30.797431,175.07141079069766,17.6367104
f3,4f,1e,c1,0,f0,1d,46,30.847431,174.97494167441857,17.6367104
56,c3,13,c1,0,f0,1d,46,30.897435,174.859179572093,17.6367104
dc,8d,1c,c1,0,f0,1d,46,30.947439,174.95564852093014,17.6367104
a,12,20,c1,0,f0,1d,46,30.997444,174.994234827907,17.6367104
ea,22,2e,c1,0,f0,1d,46,33.947643,175.1485867534883,17.6367104
4d,96,23,c1,0,f0,1d,46,33.997648,175.03282465116274,17.6367104
4d,96,23,c1,0,f0,1d,46,34.047653,175.03282465116274,17.6367104
5b,2b,35,c1,0,f0,1d,46,34.247666,175.2257628837209,17.6367104
60,d1,54,c1,0,f0,1d,46,34.297672,175.57305689302325,17.6367104
cc,33,3c,c1,0,f0,1d,46,34.397677,175.3029390139535,17.6367104
f,b8,3f,c1,0,f0,1d,46,34.447685,175.34152883720924,17.6367104
f8,f5,3d,c1,0,f0,1d,46,34.497692,175.32223568372092,17.6367104
cc,33,3c,c1,0,f0,1d,46,34.547697,175.3029390139535,17.6367104
3c,3c,43,c1,0,f0,1d,46,34.597702,175.38011497674415,17.6367104
f8,f5,3d,c1,0,f0,1d,46,34.647703,175.32223568372092,17.6367104
26,7a,41,c1,0,f0,1d,46,34.697707,175.36082199069767,17.6367104
3c,3c,43,c1,0,f0,1d,46,34.747713,175.38011497674415,17.6367104
f,b8,3f,c1,0,f0,1d,46,34.797715,175.34152883720924,17.6367104
96,82,48,c1,0,f0,1d,46,34.847717,175.43799795348832,17.6367104
80,c0,46,c1,0,f0,1d,46,34.897721,175.41870496744184,17.6367104
b2,ea,69,c1,0,f0,1d,46,34.947723,175.804585116279,17.6367104
f8,f5,3d,c1,0,f0,1d,46,34.997728,175.32223568372092,17.6367104
3c,3c,43,c1,0,f0,1d,46,35.047734,175.38011497674415,17.6367104
88,ed,36,c1,0,f0,1d,46,35.097734,175.24505972093027,17.6367104
f8,f5,3d,c1,0,f0,1d,46,35.147739,175.32223568372092,17.6367104
f8,f5,3d,c1,0,f0,1d,46,35.197743,175.32223568372092,17.6367104
b5,71,3a,c1,0,f0,1d,46,35.247744,175.28364586046507,17.6367104
44,69,33,c1,0,f0,1d,46,35.297747,175.20646973023258,17.6367104
f8,f5,3d,c1,0,f0,1d,46,35.347753,175.32223568372092,17.6367104
cc,33,3c,c1,0,f0,1d,46,35.397755,175.3029390139535,17.6367104
b5,71,3a,c1,0,f0,1d,46,35.447751,175.28364586046507,17.6367104
b5,71,3a,c1,0,f0,1d,46,35.497763,175.28364586046507,17.6367104
da,6,4c,c1,0,f0,1d,46,35.547767,175.476587944186,17.6367104
f8,f5,3d,c1,0,f0,1d,46,35.59777,175.32223568372092,17.6367104
cc,33,3c,c1,0,f0,1d,46,35.647773,175.3029390139535,17.6367104
b5,71,3a,c1,0,f0,1d,46,35.697777,175.28364586046507,17.6367104
61,4f,a5,c1,0,f0,1d,46,35.74778,176.45633564651166,17.6367104
9e,af,38,c1,0,f0,1d,46,35.797785,175.26435270697675,17.6367104
b5,71,3a,c1,0,f0,1d,46,35.847788,175.28364586046507,17.6367104
88,ed,36,c1,0,f0,1d,46,35.89779,175.24505972093027,17.6367104
fe,5d,5f,c1,0,f0,1d,46,35.947795,175.68881916279065,17.6367104
9e,af,38,c1,0,f0,1d,46,35.997799,175.26435270697675,17.6367104
