Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Timestamp (s),FR susp (mm),FL susp (mm)
0,a0,94,44,0,0,23,43,23.647264,-93.42142857142858,19.92222222222222
0,40,93,44,0,0,23,43,23.697271,-92.55714285714285,19.92222222222222
0,0,93,44,0,0,22,43,23.747275,-92.39999999999999,19.8
0,a0,94,44,0,0,20,43,23.797276,-93.42142857142858,19.555555555555557
0,60,93,44,0,0,20,43,23.847281,-92.63571428571429,19.555555555555557
0,20,95,44,0,0,23,43,23.897281,-93.73571428571428,19.92222222222222
0,40,94,44,0,0,24,43,23.947285,-93.1857142857143,20.044444444444444
0,0,96,44,0,0,25,43,23.997289,-94.28571428571428,20.166666666666664
0,80,91,44,0,0,24,43,24.047294,-91.45714285714286,20.044444444444444
0,0,94,44,0,0,23,43,24.097298,-93.02857142857144,19.92222222222222
0,40,92,44,0,0,22,43,24.147301,-91.92857142857143,19.8
0,80,95,44,0,0,23,43,24.19731,-93.97142857142858,19.92222222222222
0,c0,91,44,0,0,22,43,24.247308,-91.61428571428571,19.8
0,0,96,44,0,0,24,43,24.297311,-94.28571428571428,20.044444444444444
0,60,92,44,0,0,22,43,24.347316,-92.00714285714285,19.8
0,40,93,44,0,0,22,43,24.397316,-92.55714285714285,19.8
0,e0,93,44,0,0,21,43,24.447321,-92.95,19.677777777777777
0,c0,94,44,0,0,22,43,24.497324,-93.5,19.8
0,60,95,44,0,0,24,43,24.547328,-93.89285714285714,20.044444444444444
0,20,93,44,0,0,22,43,24.597332,-92.47857142857143,19.8
0,a0,95,44,0,0,22,43,24.647337,-94.05,19.8
0,c0,92,44,0,0,24,43,24.697338,-92.24285714285713,20.044444444444444
0,a0,94,44,0,0,26,43,24.747342,-93.42142857142858,20.288888888888888
0,40,93,44,0,0,22,43,24.797346,-92.55714285714285,19.8
0,40,94,44,0,0,24,43,25.24738,-93.1857142857143,20.044444444444444
0,0,93,44,0,0,22,43,25.297382,-92.39999999999999,19.8
0,c0,91,44,0,0,22,43,25.347387,-91.61428571428571,19.8
0,0,95,44,0,0,22,43,25.397387,-93.65714285714286,19.8
0,40,95,44,0,0,23,43,25.447391,-93.81428571428572,19.92222222222222
0,80,94,44,0,0,21,43,25.497396,-93.34285714285714,19.677777777777777
0,60,96,44,0,0,23,43,25.5474,-94.52142857142857,19.92222222222222
0,c0,92,44,0,0,21,43,25.597403,-92.24285714285713,19.677777777777777
0,c0,94,44,0,0,24,43,25.647408,-93.5,20.044444444444444
0,a0,93,44,0,0,21,43,25.697412,-92.79285714285714,19.677777777777777
0,40,94,44,0,0,23,43,25.747414,-93.1857142857143,19.92222222222222
0,80,95,44,0,0,21,43,25.797417,-93.97142857142858,19.677777777777777
0,60,94,44,0,0,23,43,25.847423,-93.26428571428572,19.92222222222222
0,20,93,44,0,0,20,43,25.897425,-92.47857142857143,19.555555555555557
0,60,92,44,0,0,23,43,25.947428,-92.00714285714285,19.92222222222222
0,40,94,44,0,0,21,43,25.997431,-93.1857142857143,19.677777777777777
0,0,93,44,0,0,21,43,26.047437,-92.39999999999999,19.677777777777777
0,c0,a9,44,0,0,2e,43,28.947643,-106.7,21.266666666666666
0,80,9d,44,0,0,21,43,28.997644,-99.0,19.677777777777777
0,e0,9f,44,0,0,29,43,29.047651,-100.49285714285715,20.655555555555555
0,20,a4,44,0,0,2f,43,29.097653,-103.16428571428571,21.38888888888889
0,40,a2,44,0,0,2b,43,29.147659,-101.98571428571428,20.9
0,60,a5,44,0,0,2e,43,29.197661,-103.94999999999999,21.266666666666666
0,20,a4,44,0,0,2d,43,29.247665,-103.16428571428571,21.144444444444442
0,60,9b,44,0,80,f9,43,29.297666,-97.66428571428573,60.98888888888889
0,40,9b,44,0,0,60,43,29.347674,-97.58571428571429,27.377777777777776
0,60,9b,44,0,0,e6,42,29.397672,-97.66428571428573,14.055555555555554
0,40,e2,44,0,0,3f,43,29.447678,-142.21428571428572,23.344444444444445
0,a0,be,44,0,0,4b,43,29.497679,-119.82142857142856,24.811111111111114
0,20,a6,44,0,0,53,43,29.547685,-104.42142857142858,25.78888888888889
0,c0,b1,44,0,0,b3,43,29.597686,-111.72857142857144,43.75555555555556
0,a0,be,44,0,0,2e,43,29.647695,-119.82142857142856,21.266666666666666
0,c0,b5,44,0,0,39,43,29.697698,-114.24285714285713,22.61111111111111
0,0,b0,44,0,0,31,44,29.747703,-110.62857142857143,86.53333333333333
0,80,b3,44,0,0,2d,43,29.797706,-112.82857142857144,21.144444444444442
0,e0,1,45,0,0,50,43,29.847709,-163.27142857142857,25.42222222222222
0,a0,a7,44,0,0,35,43,29.897711,-105.36428571428571,22.12222222222222
0,0,a7,44,0,0,30,43,29.947715,-104.97142857142858,21.511111111111113
0,c0,94,44,0,0,22,43,29.997716,-93.5,19.8
0,20,9a,44,0,0,26,43,30.047722,-96.87857142857142,20.288888888888888
0,a0,8e,44,0,0,1e,43,30.097725,-89.64999999999999,19.31111111111111
0,60,b2,44,0,0,44,43,30.147729,-112.12142857142858,23.955555555555556
0,40,ae,44,0,0,3e,43,30.197731,-109.52857142857142,23.22222222222222
0,60,ab,44,0,0,3f,43,30.247736,-107.72142857142858,23.344444444444445
0,60,a0,44,0,0,27,43,30.297737,-100.80714285714286,20.41111111111111
0,e0,9c,44,0,0,26,43,30.347743,-98.60714285714286,20.288888888888888
0,c0,9c,44,0,80,82,43,30.397747,-98.52857142857142,31.9
0,40,9a,44,0,0,61,43,30.447748,-96.95714285714286,27.5
0,c0,9b,44,0,0,30,43,30.497755,-97.9,21.511111111111113
0,0,f0,44,0,80,be,43,30.547757,-150.85714285714286,46.56666666666667
0,e0,c2,44,0,0,41,43,30.597759,-122.49285714285715,23.58888888888889
0,c0,bf,44,0,0,38,43,30.647765,-120.52857142857142,22.48888888888889
0,c0,a4,44,0,0,27,43,30.697767,-103.55714285714285,20.41111111111111
0,80,9e,44,0,0,4a,43,30.747773,-99.62857142857143,24.68888888888889
0,80,9d,44,0,0,16,43,30.797775,-99.0,18.333333333333332
0,60,f2,44,0,0,2f,43,30.847776,-152.35,21.38888888888889
0,c0,a2,44,0,0,2e,43,30.897779,-102.30000000000001,21.266666666666666
0,80,a4,44,0,0,3a,43,30.947785,-103.39999999999999,22.733333333333334
0,20,ad,44,0,0,34,43,30.997789,-108.82142857142857,22.0
0,e0,ae,44,0,0,3a,43,33.947988,-109.92142857142858,22.733333333333334
0,a0,a7,44,0,0,49,43,33.997992,-105.36428571428571,24.566666666666666
0,80,9b,44,0,0,32,43,34.047998,-97.74285714285715,21.755555555555556
0,e0,bb,44,0,0,5a,43,34.248011,-118.09285714285714,26.644444444444446
0,c0,9e,44,0,0,30,43,34.298017,-99.78571428571429,21.511111111111113
0,60,9d,44,0,0,2b,43,34.398023,-98.92142857142856,20.9
0,a0,9b,44,0,0,2b,43,34.44803,-97.82142857142857,20.9
0,40,9f,44,0,0,2e,43,34.498039,-100.10000000000001,21.266666666666666
0,c0,a9,44,0,0,35,43,34.54804,-106.7,22.12222222222222
0,20,a0,44,0,0,1d,43,34.598047,-100.65,19.18888888888889
0,c0,b0,44,0,0,29,43,34.648051,-111.1,20.655555555555555
0,60,a0,44,0,0,20,43,34.698054,-100.80714285714286,19.555555555555557
0,80,c8,44,0,0,af,43,34.748057,-126.02857142857142,42.77777777777778
0,0,aa,44,0,0,97,43,34.79806,-106.85714285714286,36.91111111111111
